ObjectId,lat,long,offence,location,year,month,date,dayofweek,MCI,Arrest
1644,43.73168881,-79.61177392,Assault Bodily Harm,"Apartment (Rooming House, Condo)",2015,November,2015/11/14 05:00:00+00,Saturday  ,Assault,1
1645,43.73032221,-79.61961826,Robbery With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,November,2015/11/14 05:00:00+00,Saturday  ,Robbery,1
1646,43.73319325,-79.61945923,Robbery With Weapon,Ttc Bus Stop / Shelter / Loop,2015,November,2015/11/14 05:00:00+00,Saturday  ,Robbery,1
1647,43.71892216,-79.57583838,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/15 05:00:00+00,Sunday    ,Break and Enter,1
1648,43.69021298,-79.57702746,Assault With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,November,2015/11/16 05:00:00+00,Monday    ,Assault,1
1649,43.73168881,-79.61177392,Assault,"Apartment (Rooming House, Condo)",2015,November,2015/11/16 05:00:00+00,Monday    ,Assault,1
1650,43.74549552,-79.61423941,B&E,Bar / Restaurant,2015,November,2015/11/17 05:00:00+00,Tuesday   ,Break and Enter,1
1651,43.71892216,-79.57583838,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/15 05:00:00+00,Sunday    ,Break and Enter,1
1652,43.70602991,-79.60417825,Assault - Resist/ Prevent Seiz,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/18 05:00:00+00,Wednesday ,Assault,1
1653,43.68951723,-79.58726582,Theft From Motor Vehicle Over,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,November,2015/11/13 05:00:00+00,Friday    ,Theft Over,1
1654,43.70602991,-79.60417825,Assault,"Parking Lots (Apt., Commercial Or Non-Commercial)",2015,November,2015/11/19 05:00:00+00,Thursday  ,Assault,1
1655,43.71668853,-79.58236017,B&E,"Construction Site (Warehouse, Trailer, Shed)",2015,November,2015/11/19 05:00:00+00,Thursday  ,Break and Enter,1
1656,43.71844401,-79.60169835,Assault With Weapon,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/21 05:00:00+00,Saturday  ,Assault,1
1657,43.70258119,-79.57296584,Theft Over,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/21 05:00:00+00,Saturday  ,Theft Over,1
1658,43.72127309,-79.58545856,Discharge Firearm With Intent,Unknown,2015,November,2015/11/22 05:00:00+00,Sunday    ,Assault,1
1659,43.71154887,-79.57133239,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/22 05:00:00+00,Sunday    ,Break and Enter,1
1660,43.70915397,-79.56547625,B&E,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,November,2015/11/22 05:00:00+00,Sunday    ,Break and Enter,1
1661,43.7233992,-79.61572249,Unlawfully In Dwelling-House,"Single Home, House (Attach Garage, Cottage, Mobile)",2015,November,2015/11/22 05:00:00+00,Sunday    ,Break and Enter,1
1662,43.71154887,-79.57133239,Assault,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/22 05:00:00+00,Sunday    ,Assault,1
1663,43.71892216,-79.57583838,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/22 05:00:00+00,Sunday    ,Break and Enter,1
1664,43.69021298,-79.57702746,Assault,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/23 05:00:00+00,Monday    ,Assault,1
1665,43.74529347,-79.60007077,Robbery With Weapon,"Streets, Roads, Highways (Bicycle Path, Private Road)",2015,November,2015/11/23 05:00:00+00,Monday    ,Robbery,1
1666,43.73236392,-79.61821394,Assault,Retirement Home,2015,November,2015/11/24 05:00:00+00,Tuesday   ,Assault,1
1667,43.71154887,-79.57133239,B&E,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/25 05:00:00+00,Wednesday ,Break and Enter,1
1668,43.70092446,-79.56153504,Theft Over,"Construction Site (Warehouse, Trailer, Shed)",2015,November,2015/11/25 05:00:00+00,Wednesday ,Theft Over,1
1669,43.70263577,-79.58908062,Assault Bodily Harm,"Apartment (Rooming House, Condo)",2015,December,2015/12/01 05:00:00+00,Tuesday   ,Assault,1
1670,43.71702138,-79.57245189,B&E W'Intent,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",2015,December,2015/12/02 05:00:00+00,Wednesday ,Break and Enter,1
1671,43.69852853,-79.58014829,Theft Over,"Construction Site (Warehouse, Trailer, Shed)",2015,November,2015/11/17 05:00:00+00,Tuesday   ,Theft Over,1
1672,43.73236392,-79.61821394,Assault,Retirement Home,2015,December,2015/12/03 05:00:00+00,Thursday  ,Assault,1
1673,43.69021298,-79.57702746,Theft Over,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",2015,November,2015/11/29 05:00:00+00,Sunday    ,Theft Over,1
1674,43.7234394,-79.57232713,Assault With Weapon,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,December,2015/12/04 05:00:00+00,Friday    ,Assault,1
1675,43.73456747,-79.59505199,Assault,"Apartment (Rooming House, Condo)",2014,July,2014/07/05 04:00:00+00,Saturday  ,Assault,1
1676,43.69609192,-79.59003329,Assault,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2015,December,2015/12/04 05:00:00+00,Friday    ,Assault,1
